SetID,Number,Variant,Theme,Subtheme,Year,Name,Minifigs,Pieces,USPrice,OwnedBy,WantedBy
28559,10264,1,Creator Expert,Modular Buildings,2019,Corner Garage,6,2569,199.99,3475,4311
28959,10265,1,Creator Expert,Vehicles,2019,Ford Mustang,,1471,149.99,3707,2733
28592,10266,1,Creator Expert,Space,2019,NASA Apollo 11 Lunar Lander,2,1087,99.99,3836,2232
28591,10267,1,Creator Expert,Winter Village,2019,{Winter village set},,,,1694,
28590,10269,1,Creator Expert,Vehicles,2019,Harley-Davidson Fat Boy,,1023,99.99,704,1644
28939,10766,1,Toy Story,Toy Story 4,2019,Woody & RC,1,69,9.99,1032,591
28940,10767,1,Toy Story,Toy Story 4,2019,Duke Caboom's Stunt Show,2,120,19.99,476,449
28941,10768,1,Toy Story,Toy Story 4,2019,Buzz and Bo Peep's Playground Adventure,,139,24.99,393,428
28942,10769,1,Toy Story,Toy Story 4,2019,RV Vacation,3,178,34.99,520,624
28943,10770,1,Toy Story,Toy Story 4,2019,Buzz & Woody's Carnival Mania!,5,230,49.99,430,633
29102,10771,1,Toy Story,Toy Story 4,2019,Carnival Thrill Coaster,2,98,19.99,560,517
28517,10883,1,Duplo,,2019,My First Tow Truck,,11,9.99,60,16
28516,10884,1,Duplo,,2019,My First Balancing Animals,,15,14.99,58,36
28515,10885,1,Duplo,,2019,My First Fun Puzzle,,,19.99,48,64
28514,10886,1,Duplo,,2019,My First Car Creations,,34,19.99,55,24
28926,10887,1,Duplo,,2019,Creative Fun,,120,39.99,26,17
29263,10889,1,Duplo,,2019,Mickey's Vacation House,,57,49.99,30,70
28416,10893,1,Duplo,Spider-Man,2019,Spider-Man vs. Electro,2,29,19.99,60,46
28960,10894,1,Duplo,Toy Story,2019,Toy Story Train,2,21,19.99,159,100
28450,10895,1,Duplo,,2019,Emmet and Lucy's Visitors from the DUPLO Planet,2,53,29.99,362,168
28513,10897,1,Duplo,,2019,My First Minnie Build,,10,9.99,137,39
28512,10898,1,Duplo,,2019,My First Mickey Build,,9,9.99,145,41
29359,10899,1,Duplo,Disney Princess,2019,Frozen Ice Castle,,59,49.99,19,70
28511,10900,1,Duplo,,2019,Police Bike,1,8,9.99,120,27
28510,10901,1,Duplo,,2019,Fire Truck,2,21,19.99,128,44
28509,10902,1,Duplo,,2019,Police Station,3,38,29.99,45,40
28508,10903,1,Duplo,,2019,Fire Station,2,76,49.99,48,51
29264,10904,1,Duplo,,2019,Baby Animals,,9,9.99,93,62
29265,10906,1,Duplo,,2019,Tropical Island,3,73,59.99,24,74
29266,10907,1,Duplo,,2019,World Animals,6,121,99.99,14,85
28507,10908,1,Duplo,,2019,Plane,1,12,9.99,59,28
29267,10910,1,Duplo,,2019,Submarine Adventure,2,24,19.99,71,87
28506,11001,1,Classic,,2019,Bricks and Ideas,,123,9.99,265,123
28505,11002,1,Classic,,2019,Basic Brick Set ,,300,19.99,162,121
28504,11003,1,Classic,,2019,Bricks and Eyes ,,451,29.99,126,169
29268,11004,1,Classic,,2019,Windows of Creativity,,450,29.99,61,145
28603,11005,1,Classic,,2019,Creative Fun,,900,39.99,135,137
29570,11920,1,Star Wars,,2019,Parts for Star Wars: Build Your Own Adventure Galactic Missions,1,66,,89,
28503,21043,1,Architecture,Skylines,2019,San Francisco,,565,49.99,2125,1483
28502,21044,1,Architecture,Skylines,2019,Paris,,649,49.99,1889,1374
29037,21045,1,Architecture,Landmark Series,2019,Trafalgar Square,,1197,79.99,719,1545
29036,21046,1,Architecture,Landmark Series,2019,Empire State Building,,1767,129.99,688,1513
28379,21148,1,Minecraft,Bigfigs Series 1,2019,Minecraft Steve BigFig with Parrot,,159,14.99,500,232
28380,21149,1,Minecraft,Bigfigs Series 1,2019,Minecraft Alex BigFig with Chicken,,160,14.99,437,234
28381,21150,1,Minecraft,Bigfigs Series 1,2019,Minecraft Skeleton BigFig with Magma Cube,,142,14.99,438,251
28382,21151,1,Minecraft,Minifig-scale,2019,The End Battle,2,222,19.99,523,326
28383,21152,1,Minecraft,Minifig-scale,2019,Pirate Ship,3,386,39.99,341,389
29336,21153,1,Minecraft,Minifig-scale,2019,The Wool Farm,,260,19.99,76,180
29337,21154,1,Minecraft,Minifig-scale,2019,The Blaze Bridge,,372,29.99,38,179
29338,21155,1,Minecraft,Minifig-scale,2019,The Creeper Mine,,834,79.99,40,226
29088,21316,1,Ideas,Licensed,2019,The Flintstones,4,748,59.99,3161,1766
29153,21317,1,Ideas,Licensed,2019,Steamboat Willie,2,751,89.99,2538,1808
29383,21318,1,Ideas,,2019,Tree House,4,3036,199.99,841,2613
29562,21319,1,Ideas,Licensed,2019,Central Perk,,1070,59.99,350,1755
28953,30327,1,Duplo,,2019,My First Duck,,6,,172,37
28954,30328,0,Duplo,,2019,Town Rescue - {Random Bag},,,,27,31
28979,30328,2,Duplo,,2019,Town Rescue - Bird,,,,32,23
28980,30328,3,Duplo,,2019,Town Rescue - Fireman,,,,27,23
